"bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","id","cluster"
94,82,53,67,34,0,9,8,299,"cluster_0"
89,73,44,57,39,0,32,6,300,"cluster_0"
87,65,71,56,4,0,15,20,301,"cluster_0"
124,72,79,78,55,0,15,30,302,"cluster_3"
78,67,51,64,28,2,18,9,303,"cluster_0"
120,67,51,64,28,2,18,9,304,"cluster_0"
96,67,51,64,28,2,18,9,305,"cluster_0"
106,73,22,86,31,0,12,4,306,"cluster_0"
170,78,75,46,62,0,12,35,307,"cluster_1"
134,67,11,76,8,47,30,7,308,"cluster_1"
115,67,51,64,28,2,18,9,309,"cluster_0"
130,67,51,64,28,2,18,9,310,"cluster_1"
118,65,63,79,3,0,10,3,311,"cluster_3"
110,59,22,38,42,0,12,3,312,"cluster_2"
100,72,42,66,18,4,19,4,313,"cluster_0"
142,70,76,79,26,0,11,7,314,"cluster_3"
140,64,18,37,72,0,12,7,315,"cluster_2"
116,90,96,73,62,0,9,4,316,"cluster_3"
120,73,64,85,25,0,61,3,317,"cluster_3"
92,76,46,79,31,0,7,6,318,"cluster_0"
110,67,51,64,28,2,18,9,319,"cluster_0"
120,67,51,64,28,2,18,9,320,"cluster_0"
80,67,51,64,28,2,18,9,321,"cluster_0"
115,95,43,69,47,0,9,31,322,"cluster_0"
76,67,51,64,28,2,18,9,323,"cluster_0"
172,67,51,64,28,2,18,9,324,"cluster_1"
99,67,51,64,28,2,18,9,325,"cluster_0"
136,36,12,57,9,0,14,8,326,"cluster_1"
150,67,51,64,28,2,18,9,327,"cluster_1"
92,67,51,64,28,2,18,9,328,"cluster_0"
95,67,51,64,28,2,18,9,329,"cluster_0"
102,83,58,83,21,0,10,5,330,"cluster_0"
145,70,34,55,43,0,16,6,331,"cluster_1"
110,50,24,86,0,0,64,4,332,"cluster_0"
95,64,30,77,46,0,38,6,333,"cluster_0"
94,68,81,82,53,0,9,13,334,"cluster_3"
142,61,92,91,0,0,26,3,335,"cluster_3"
145,67,51,64,28,2,18,9,336,"cluster_1"
121,67,51,64,28,2,18,9,337,"cluster_0"
140,67,51,64,28,2,18,9,338,"cluster_1"
137,67,51,64,28,2,18,9,339,"cluster_1"
104,67,51,64,28,2,18,9,340,"cluster_0"
92,57,68,76,7,0,33,3,341,"cluster_0"
146,74,51,45,86,0,21,38,342,"cluster_2"
120,56,20,43,89,0,12,4,343,"cluster_2"
144,68,83,81,9,0,8,4,344,"cluster_3"
94,59,44,56,80,0,6,3,345,"cluster_2"
94,67,51,64,28,2,18,9,346,"cluster_0"
113,79,66,74,8,0,11,5,347,"cluster_3"
148,50,49,76,12,0,12,3,348,"cluster_1"
98,67,51,64,28,2,18,9,349,"cluster_0"
140,58,26,38,91,0,10,4,350,"cluster_2"
100,36,28,28,81,0,18,3,351,"cluster_2"
140,67,51,64,28,2,18,9,352,"cluster_1"
100,59,78,94,27,0,29,23,353,"cluster_3"
100,59,49,65,2,0,13,3,354,"cluster_0"
132,87,82,70,42,0,21,5,355,"cluster_3"
142,49,48,67,10,0,26,3,356,"cluster_1"
